"Az. Agric. GIOL - San Polo in Piave (TV)","https://docs.google.com/file/d/0B5B-cQyaCYbEblEzNjNGdTdVbms"
"Az. Agric. GRADIZZOLO - Monteveglio (BO)","https://docs.google.com/file/d/0B5B-cQyaCYbEbS1YRUFaUEc4TE0"
"IL FARNETO Soc. Agric. - Castellarano (RE)","https://docs.google.com/file/d/0B5B-cQyaCYbEX19ja0FnZzkwMzR5VFktWWEzazJBSnd5TGkw"
"IL FARNETO Soc. Agric. - Castellarano (RE)","https://docs.google.com/file/d/0B5B-cQyaCYbEX19ja0FnZzkwMzR5VFktWWEzazJBSnd5TGkw"
"Az. Agric. FOLICELLO - Castelfranco Emilia (MO)","https://docs.google.com/file/d/0B5B-cQyaCYbEZ2JZeTNNVURLRlU"
"Az. Agric. MAGNANI ADRIANO - Bertinoro (FC)","https://docs.google.com/file/d/0B5B-cQyaCYbERnYyNlZQaTd3NW8"
"Az. Agric. MAGNANI ADRIANO - Bertinoro (FC)","https://docs.google.com/file/d/0B5B-cQyaCYbERnYyNlZQaTd3NW8"
"Az. Agric. GRADIZZOLO - Monteveglio (BO)","https://docs.google.com/file/d/0B5B-cQyaCYbEbS1YRUFaUEc4TE0"
"Az. Agric. GRADIZZOLO - Monteveglio (BO)","https://docs.google.com/file/d/0B5B-cQyaCYbEbS1YRUFaUEc4TE0"
"IL FARNETO Soc. Agric. - Castellarano (RE)","https://docs.google.com/file/d/0B5B-cQyaCYbEX19ja0FnZzkwMzR5VFktWWEzazJBSnd5TGkw"
"Az. Agric. CENTANNI - Montefiore dell'Aso (AP)","https://docs.google.com/file/d/0B5B-cQyaCYbEeEN3dWtVcUdIWUE"
"Podere GUADO AL MELO - Bolgheri (LI)","https://docs.google.com/file/d/0B5B-cQyaCYbEVTdMS2JiZmFUWUU"
"Sicilia Vostra - Coop Terramatta, Sicilia","https://docs.google.com/file/d/0B5B-cQyaCYbEcFF2YzVSdkhGa00"
"CASCINA TAVIJN - Scurzolengo (AT)","https://docs.google.com/file/d/0B5B-cQyaCYbEVnF3VmhUWnNSZnM"
"Az. Agric. GRADIZZOLO - Monteveglio (BO)","https://docs.google.com/file/d/0B5B-cQyaCYbEbS1YRUFaUEc4TE0"
"IL FARNETO Soc. Agric. - Castellarano (RE)","https://docs.google.com/file/d/0B5B-cQyaCYbEX19ja0FnZzkwMzR5VFktWWEzazJBSnd5TGkw"
"Az. Agric. LA COLLINA - Codemondo (RE)","https://docs.google.com/file/d/0B5B-cQyaCYbEUTI3OTR1S2JOLTA"
"Az. Agric. LA COLLINA - Codemondo (RE)","https://docs.google.com/file/d/0B5B-cQyaCYbEUTI3OTR1S2JOLTA"
